timestamp,source_file,elapsed_seconds,interval_operations,throughput_ops_per_second,average_latency_ms,p50_latency_ms,p90_latency_ms,p99_latency_ms,marked_outlier
2026-08-30T03:16:48.880000+00:00,run_10_continuous.log,1520,41992,4201.4,2.3720100000000004,2.139,3.585,6.179,False
2026-08-30T03:16:58.882000+00:00,run_10_continuous.log,1530,39979,3997.6,2.49268,2.135,3.621,7.499,False
2026-08-30T03:17:08.882000+00:00,run_10_continuous.log,1540,34615,3461.5,2.88,2.243,4.151,16.375,False
2026-08-30T03:17:18.883000+00:00,run_10_continuous.log,1550,42188,4218.32,2.36265,2.125,3.565,6.159,False
2026-08-30T03:17:28.884000+00:00,run_10_continuous.log,1560,39685,3968.0,2.5108099999999998,2.137,3.649,7.803,False
2026-08-30T03:17:38.882000+00:00,run_10_continuous.log,1570,34339,3434.9,2.9015999999999997,2.235,4.195,17.551,False
2026-08-30T03:17:48.882000+00:00,run_10_continuous.log,1580,42341,4233.18,2.35362,2.119,3.557,6.131,False
2026-08-30T03:17:58.880000+00:00,run_10_continuous.log,1590,39898,3990.2,2.49748,2.131,3.643,7.591,False
2026-08-30T03:18:08.880000+00:00,run_10_continuous.log,1600,33701,3369.5,2.95881,2.251,4.267,18.863,False
2026-08-30T03:18:18.880000+00:00,run_10_continuous.log,1610,41021,4103.6,2.4278299999999997,2.169,3.735,6.579,False
2026-08-30T03:18:28.881000+00:00,run_10_continuous.log,1620,39728,3972.2,2.5082199999999997,2.135,3.637,7.715,False
2026-08-30T03:18:38.882000+00:00,run_10_continuous.log,1630,34536,3452.45,2.88723,2.225,4.235,16.319,False
2026-08-30T03:18:48.881000+00:00,run_10_continuous.log,1640,41741,4174.48,2.38634,2.149,3.593,6.131,False
2026-08-30T03:18:58.881000+00:00,run_10_continuous.log,1650,39713,3972.1,2.50863,2.127,3.623,8.055,False
2026-08-30T03:19:08.881000+00:00,run_10_continuous.log,1660,34332,3433.54,2.90261,2.211,4.219,16.607,False
2026-08-30T03:19:18.883000+00:00,run_10_continuous.log,1670,41788,4177.1,2.3850100000000003,2.133,3.635,6.295,False
2026-08-30T03:19:28.882000+00:00,run_10_continuous.log,1680,39526,3954.0,2.51927,2.153,3.691,7.803,False
2026-08-30T03:19:38.885000+00:00,run_10_continuous.log,1690,34340,3433.9,2.90335,2.221,4.151,17.327,False
2026-08-30T03:19:48.880000+00:00,run_10_continuous.log,1700,42332,4232.82,2.3520100000000004,2.113,3.561,6.175,False
2026-08-30T03:19:58.880000+00:00,run_10_continuous.log,1710,39840,3984.1,2.5013400000000003,2.129,3.637,7.475,False
2026-08-30T03:20:08.883000+00:00,run_10_continuous.log,1720,33497,3349.53,2.9758400000000003,2.259,4.319,16.911,False
2026-08-30T03:20:18.882000+00:00,run_10_continuous.log,1730,40993,4099.6,2.42995,2.171,3.713,6.587,False
2026-08-30T03:20:28.880000+00:00,run_10_continuous.log,1740,39258,3926.59,2.53848,2.169,3.703,7.683,False
2026-08-30T03:20:38.883000+00:00,run_10_continuous.log,1750,34059,3405.9,2.92624,2.249,4.211,15.903,False
2026-08-30T03:20:48.881000+00:00,run_10_continuous.log,1760,41590,4158.1,2.39606,2.159,3.607,6.323,False
2026-08-30T03:20:58.880000+00:00,run_10_continuous.log,1770,38944,3895.3,2.5579899999999998,2.175,3.743,7.919,False
2026-08-30T03:21:08.881000+00:00,run_10_continuous.log,1780,34410,3440.66,2.8953699999999998,2.219,4.151,17.391,False
2026-08-30T03:21:18.881000+00:00,run_10_continuous.log,1790,41256,4125.4,2.41429,2.169,3.655,6.271,False
2026-08-30T03:21:28.880000+00:00,run_10_continuous.log,1800,39305,3930.49,2.53436,2.155,3.693,7.855,False
2026-08-30T03:21:38.882000+00:00,run_10_continuous.log,1810,33838,3384.2,2.94535,2.257,4.287,16.127,False
2026-08-30T03:21:48.881000+00:00,run_10_continuous.log,1820,41196,4119.39,2.41894,2.181,3.677,6.191,False
2026-08-30T03:21:58.880000+00:00,run_10_continuous.log,1830,16694,1669.57,5.97882,2.077,6.899,71.039,False
2026-08-30T03:22:08.880000+00:00,run_10_continuous.log,1840,12528,1252.8,7.96877,2.203,16.767,78.847,False
2026-08-30T03:22:18.880000+00:00,run_10_continuous.log,1850,13408,1340.8,7.4576400000000005,2.028,9.095,80.959,False
2026-08-30T03:22:28.880000+00:00,run_10_continuous.log,1860,16878,1687.6,5.92104,2.059,5.195,73.151,False
2026-08-30T03:22:38.881000+00:00,run_10_continuous.log,1870,20458,2044.8,4.88295,2.121,5.903,64.287,False
2026-08-30T03:22:48.881000+00:00,run_10_continuous.log,1880,18503,1850.71,5.3984,1.98,4.843,72.063,False
2026-08-30T03:22:58.880000+00:00,run_10_continuous.log,1890,15932,1593.96,6.26244,2.029,6.799,75.391,False
2026-08-30T03:23:08.880000+00:00,run_10_continuous.log,1900,14110,1411.0,7.07946,2.185,16.975,76.287,False
2026-08-30T03:23:18.881000+00:00,run_10_continuous.log,1910,17955,1795.32,5.5673,2.095,5.727,75.071,False
2026-08-30T03:23:28.881000+00:00,run_10_continuous.log,1920,19456,1945.2,5.133430000000001,2.032,4.439,70.975,False
2026-08-30T03:23:38.880000+00:00,run_10_continuous.log,1930,16394,1639.96,6.08599,2.077,7.167,75.903,False
2026-08-30T03:23:48.880000+00:00,run_10_continuous.log,1940,15362,1536.2,6.506069999999999,2.02,6.799,80.191,False
2026-08-30T03:23:58.880000+00:00,run_10_continuous.log,1950,18390,1838.9,5.42911,2.117,4.967,72.767,False
2026-08-30T03:24:08.880000+00:00,run_10_continuous.log,1960,13903,1390.4,7.18804,2.177,9.183,77.055,False
2026-08-30T03:24:18.880000+00:00,run_10_continuous.log,1970,14929,1492.9,6.692810000000001,2.097,6.675,76.735,False
2026-08-30T03:24:28.882000+00:00,run_10_continuous.log,1980,15415,1540.69,6.48355,2.087,6.759,74.687,False
2026-08-30T03:24:38.880000+00:00,run_10_continuous.log,1990,15276,1528.41,6.52902,2.167,10.111,75.199,False
2026-08-30T03:24:48.880000+00:00,run_10_continuous.log,2000,16141,1614.1,6.19675,1.98,7.247,78.719,False
2026-08-30T03:24:58.880000+00:00,run_10_continuous.log,2010,18352,1834.9,5.4431,2.035,4.727,73.215,False
2026-08-30T03:25:08.880000+00:00,run_10_continuous.log,2020,17189,1719.0,5.80984,2.127,6.235,73.023,False
2026-08-30T03:25:18.882000+00:00,run_10_continuous.log,2030,21560,2155.4,4.63533,1.961,4.271,70.079,False
2026-08-30T03:25:28.880000+00:00,run_10_continuous.log,2040,18551,1855.9,5.3772,2.071,5.227,72.447,False
2026-08-30T03:25:38.880000+00:00,run_10_continuous.log,2050,13603,1360.3,7.34316,2.259,9.543,76.351,False
2026-08-30T03:25:48.882000+00:00,run_10_continuous.log,2060,18910,1890.61,5.2874,2.079,5.531,71.551,False
2026-08-30T03:25:58.880000+00:00,run_10_continuous.log,2070,18521,1852.49,5.3902600000000005,2.109,4.819,71.231,False
2026-08-30T03:26:08.880000+00:00,run_10_continuous.log,2080,17488,1748.8,5.70905,2.087,6.383,72.127,False
2026-08-30T03:26:18.880000+00:00,run_10_continuous.log,2090,21674,2167.3,4.609109999999999,2.013,4.471,67.199,False
2026-08-30T03:26:28.881000+00:00,run_10_continuous.log,2100,19859,1985.8,5.02912,2.047,4.655,68.991,False
2026-08-30T03:26:38.880000+00:00,run_10_continuous.log,2110,16739,1674.07,5.95734,2.077,8.439,73.343,False
2026-08-30T03:26:48.880000+00:00,run_10_continuous.log,2120,14400,1439.9,6.94447,2.028,12.583,76.735,False
2026-08-30T03:26:58.880000+00:00,run_10_continuous.log,2130,16047,1604.8,6.2235,2.085,6.611,73.983,False
2026-08-30T03:27:08.883000+00:00,run_10_continuous.log,2140,13581,1358.0,7.36332,2.241,13.711,76.031,False
2026-08-30T03:27:18.880000+00:00,run_10_continuous.log,2150,19186,1918.6,5.20431,2.069,4.963,72.255,False
2026-08-30T03:27:28.880000+00:00,run_10_continuous.log,2160,18927,1892.8,5.2749,2.081,4.819,71.167,False
2026-08-30T03:27:38.881000+00:00,run_10_continuous.log,2170,19938,1992.3,5.0114399999999995,2.207,5.467,72.447,False
2026-08-30T03:27:48.881000+00:00,run_10_continuous.log,2180,41181,4119.1,2.4190300000000002,2.177,3.641,6.339,False
2026-08-30T03:27:58.886000+00:00,run_10_continuous.log,2190,39427,3941.03,2.52876,2.155,3.669,7.891,False
2026-08-30T03:28:08.882000+00:00,run_10_continuous.log,2200,33941,3395.6,2.93305,2.285,4.255,15.895,False
2026-08-30T03:28:18.881000+00:00,run_10_continuous.log,2210,41266,4126.91,2.41536,2.165,3.653,6.539,False
2026-08-30T03:28:28.881000+00:00,run_10_continuous.log,2220,39310,3931.1,2.5349,2.173,3.683,7.471,False
2026-08-30T03:28:38.882000+00:00,run_10_continuous.log,2230,33964,3396.1,2.9343000000000004,2.237,4.159,17.727,False
2026-08-30T03:28:48.882000+00:00,run_10_continuous.log,2240,42108,4210.26,2.36638,2.139,3.543,6.175,False
2026-08-30T03:28:58.885000+00:00,run_10_continuous.log,2250,39748,3974.99,2.5067,2.149,3.647,7.651,False
2026-08-30T03:29:08.881000+00:00,run_10_continuous.log,2260,34609,3461.2,2.87858,2.225,4.115,16.343,False
