bin_start_utc,bin_end_utc,offered_ops_per_sec,completed_ops_per_sec,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms
2026-08-30T21:58:27.132632+00:00,2026-08-30T21:58:37.132632+00:00,500.0,499.9,1.9334252,1.524,2.8361500000000004,7.811700000000015,36.403
2026-08-30T21:58:37.132632+00:00,2026-08-30T21:58:47.132632+00:00,500.0,500.1,3.17034,1.608,6.146250000000004,43.69940000000049,180.158
2026-08-30T21:58:47.132632+00:00,2026-08-30T21:58:57.132632+00:00,500.0,500.0,2.2451276,1.5535,3.853150000000004,13.688190000000025,58.591
2026-08-30T21:58:57.132632+00:00,2026-08-30T21:59:07.132632+00:00,500.0,500.0,1.8761989999999997,1.444,2.7951500000000005,8.790390000000007,40.568
2026-08-30T21:59:07.132632+00:00,2026-08-30T21:59:17.132632+00:00,500.0,500.0,3.0067133999999998,1.562,4.212300000000001,42.3095500000001,143.407
2026-08-30T21:59:17.132632+00:00,2026-08-30T21:59:27.132632+00:00,500.0,500.0,2.6065021999999995,1.497,4.910250000000019,35.690930000000016,71.026
2026-08-30T21:59:27.132632+00:00,2026-08-30T21:59:37.132632+00:00,500.0,500.0,1.9215246,1.455,2.8790500000000003,10.763180000000112,41.246
2026-08-30T21:59:37.132632+00:00,2026-08-30T21:59:47.132632+00:00,500.0,500.0,3.3637737999999997,1.5185,4.421650000000006,61.19941000000001,161.433
2026-08-30T21:59:47.132632+00:00,2026-08-30T21:59:57.132632+00:00,500.0,500.0,4.3789194,1.608,11.766150000000001,96.08003000000039,132.582
2026-08-30T21:59:57.132632+00:00,2026-08-30T22:00:07.132632+00:00,500.0,499.9,2.035084,1.575,3.092,9.435110000000023,45.91
2026-08-30T22:00:07.132632+00:00,2026-08-30T22:00:17.132632+00:00,500.0,500.1,4.0226017999999995,1.7265000000000001,5.245100000000011,74.13692000000002,205.428
2026-08-30T22:00:17.132632+00:00,2026-08-30T22:00:27.132632+00:00,500.0,500.0,3.0381367999999997,1.738,4.772350000000008,43.53683000000012,96.727
2026-08-30T22:00:27.132632+00:00,2026-08-30T22:00:37.132632+00:00,500.0,500.0,2.1794632,1.72,3.3821000000000003,11.275140000000004,35.061
2026-08-30T22:00:37.132632+00:00,2026-08-30T22:00:47.132632+00:00,500.0,500.0,4.3777724000000005,1.809,7.918650000000046,80.33022000000011,158.473
2026-08-30T22:00:47.132632+00:00,2026-08-30T22:00:57.132632+00:00,500.0,499.9,3.2794755999999996,1.647,5.587350000000005,53.21611000000011,94.484
2026-08-30T22:00:57.132632+00:00,2026-08-30T22:01:07.132632+00:00,500.0,500.1,2.0737858,1.553,3.1323500000000015,12.755890000000042,43.172
2026-08-30T22:01:07.132632+00:00,2026-08-30T22:01:17.132632+00:00,500.0,500.0,3.5106208,1.696,6.101050000000003,55.13723000000031,160.273
2026-08-30T22:01:17.132632+00:00,2026-08-30T22:01:27.132632+00:00,500.0,500.0,3.1122897999999997,1.741,5.43005,44.439470000000114,91.03
2026-08-30T22:01:27.132632+00:00,2026-08-30T22:01:37.132632+00:00,500.0,500.0,2.069527,1.606,3.0930500000000003,11.916720000000037,45.217
2026-08-30T22:01:37.132632+00:00,2026-08-30T22:01:47.132632+00:00,499.9,499.9,5.095890778155631,1.704,9.174499999999933,118.424,233.825
2026-08-30T22:01:47.132632+00:00,2026-08-30T22:01:57.132632+00:00,500.1,500.0,2.8786302739452108,1.762,5.129,24.743,74.444
2026-08-30T22:01:57.132632+00:00,2026-08-30T22:02:07.132632+00:00,499.9,500.1,2.033755151030206,1.642,3.0452999999999983,8.202059999999998,34.899
